WAVE1 WAVE2
1157.227 1158.058
1162.91 1163.774
1171.783 1172.614
1186.671 1187.568
1189.296 1190.725
1192.653 1193.484
1195.411 1197.571
1198.767 1200.961
1205.513 1207.939
1211.196 1223.658
1224.688 1227.779
1230.105 1233.129
1240.008 1243.265
1250.377 1251.307
1255.694 1258.219
1259.216 1262.938
1279.587 1282.744
1285.802 1288.394
1291.385 1294.376
1295.439 1298.363
1299.493 1307.203
1310.659 1311.39
1313.75 1315.245
1318.801 1320.031
1324.417 1325.913
1331.363 1332.36
1333.157 1335.916
1338.275 1339.438
1340.734 1341.532
1345.088 1345.819
1352.266 1352.831
1353.528 1354.326
1356.22 1360.042
1361.903 1363.864
1365.16 1367.719
1369.679 1371.507
1372.537 1374.598
1375.661 1376.492
1377.721 1379.217
1393.307 1394.071
1402.114 1402.911
1404.008 1405.237
1409.325 1410.056
1418.497 1422.618
1427.071 1428.167
1437.506 1438.37
1445.382 1447.043
1452.925 1453.756
1467.248 1468.81
1472.831 1473.828
1476.919 1477.949
1500.38 1501.876
1507.558 1508.29
1511.015 1511.812
1514.471 1515.268
1516.598 1517.362
1518.824 1520.519
1526.168 1527.132
1537.899 1538.896
1543.316 1544.413
1547.537 1548.401
1550.129 1551.026
1553.119 1554.283
1563.455 1564.485
1570.367 1572.926
1596.221 1598.149
1602.303 1603.399
1604.33 1605.26
1607.188 1610.611
1614.067 1616.792
1620.248 1621.411
1629.885 1630.849
1664.347 1665.576
1667.338 1668.202
1669.332 1670.96
1681.129 1682.192
1691.863 1692.727
1703.527 1705.056
1722.303 1723.267
1731.907 1732.805
1738.587 1741.013
1761.517 1762.813
1765.372 1766.402
