WAVE1 WAVE2
1231.023 1232.155
1237.554 1238.991
1242.126 1242.997
1243.868 1246.088
1247.351 1247.961
1249.92 1250.573
1251.792 1252.054
1253.012 1253.97
1255.45 1261.502
1263.07 1264.55
1265.247 1265.9
1266.51 1267.293
1270.341 1271.299
1276.568 1277.83
1284.405 1285.189
1296.858 1297.511
1301.169 1306.873
1316.408 1317.715
1323.375 1324.638
1327.99 1332.04
1333.215 1338.615
1344.928 1345.93
1350.24 1351.546
1360.56 1364.435
1369.181 1370.052
1392.258 1395.828
1401.619 1403.013
1406.322 1408.673
1413.768 1414.595
1421.17 1423.042
1433.1 1435.408
1474.073 1475.379
1488.05 1492.883
1525.191 1526.845
1528.587 1530.111
1533.072 1534.465
1538.993 1539.995
1546.526 1550.663
1575.22 1577.005
1580.75 1601.824
1607.31 1608.878
1669.096 1670.968
