WAVE1 WAVE2
1132.685 1134.187
1137.26 1138.592
1188.477 1189.501
1189.774 1190.935
1191.447 1192.301
1192.677 1193.496
1194.52 1195.408
1198.823 1201.145
1204.457 1206.881
1211.49 1219.344
1238.977 1240.274
1247.444 1248.708
1253.42 1254.888
1258.576 1261.375
1267.18 1268.307
1269.263 1270.219
1275.648 1276.672
1281.043 1281.999
1296.339 1298.183
1299.788 1301.359
1301.598 1302.451
1303.441 1306.856
1313.821 1314.914
1316.007 1317.27
1322.938 1323.621
1325.396 1326.899
1327.923 1329.186
1329.903 1331.508
1332.43 1335.059
1337.825 1339.805
1345.098 1346.19
1347.146 1348.683
1362.341 1363.365
1381.598 1382.93
1389.895 1394.027
1400.378 1403.075
1405.192 1405.977
1407.753 1409.836
1415.367 1417.45
1421.172 1422.264
1429.298 1430.732
1436.776 1439.063
1445.585 1447.292
1449.58 1450.672
1453.472 1454.326
1456.306 1458.56
1467.062 1467.779
1469.452 1470.613
1495.641 1497.689
1504.313 1507.489
1526.029 1527.088
1545.492 1549.521
1550.579 1551.33
1554.437 1555.803
1567.549 1568.846
1586.363 1587.728
1594.455 1595.582
1607.805 1608.625
1625.697 1626.858
1641.369 1642.667
1649.598 1651.066
1658.954 1661.071
1665.202 1666.534
1670.187 1671.485
1688.284 1689.752
1690.196 1692.552
1694.396 1696.922
1702.795 1704.263
1722.121 1723.077
