WAVE1 WAVE2
1143.089 1145.237
1149.063 1149.701
1161.078 1161.749
1164.166 1164.803
1168.193 1169.435
1174.636 1175.408
1188.665 1190.746
1192.122 1195.008
1199.203 1201.686
1205.009 1207.157
1212.224 1219.171
1220.178 1221.151
1229.407 1230.381
1236.187 1237.361
1238.402 1239.207
1259.075 1261.022
1276.191 1278.54
1282.5 1283.641
1285.89 1286.997
1289.212 1289.884
1294.75 1295.589
1300.019 1305.59
1309.651 1310.591
1311.06 1312.202
1333.076 1336.936
1337.808 1338.412
1361.401 1362.408
1375.933 1377.276
1379.793 1380.8
1391.908 1394.123
1401.439 1404.057
1407.01 1407.849
1429.395 1430.637
1435.235 1436.342
1438.088 1438.826
1445.84 1446.813
1506.014 1506.786
1515.814 1516.485
1525.245 1526.99
1546.119 1551.22
1656.5 1657.809
1669.287 1671.166
1673.046 1673.683
1675.831 1676.502
