WAVE1 WAVE2
1133.843 1135.214
1139.376 1140.6
1149.487 1150.515
1154.506 1156.048
1176.368 1178.229
1181.534 1182.929
1189.906 1191.449
1192.648 1194.68
1196.296 1197.691
1199.16 1201.045
1202.808 1204.742
1205.966 1207.092
1208.782 1211.254
1212.601 1217.742
1220.141 1220.802
1226.286 1227.51
1244.647 1247.316
1250.278 1252.433
1252.996 1254.954
1258.92 1261.075
1264.6 1265.285
1266.191 1267.024
1275.666 1276.278
1277.086 1277.747
1287.05 1287.784
1291.946 1293.341
1297.014 1297.65
1301.469 1304.848
1305.95 1306.537
1308.006 1309.181
1313.319 1315.302
1316.966 1318.558
1322.866 1324.237
1326.661 1331.631
1331.851 1336.356
1337.8 1339.465
1340.297 1340.934
1365.979 1367.399
1367.913 1368.916
1369.7 1370.41
1374.449 1374.963
1375.894 1378.832
1381.108 1381.72
1384.511 1387.204
1388.624 1389.506
1392.101 1394.28
1394.892 1396.679
1399.078 1403.019
1407.451 1408.528
1410.952 1412.886
1413.4 1414.624
1432.373 1433.401
1437.0 1438.861
1441.284 1442.729
1444.296 1446.132
1449.682 1450.955
1460.331 1461.066
1470.564 1473.453
1477.64 1478.668
1513.187 1514.803
1520.972 1521.829
1526.285 1526.97
1529.663 1530.814
1531.965 1534.29
1541.855 1543.471
1547.461 1548.465
1550.106 1551.77
1556.887 1557.866
1573.094 1573.461
1573.975 1574.832
1576.546 1578.137
1610.282 1611.53
1621.176 1622.131
1630.65 1632.34
1641.349 1644.017
1653.59 1655.573
1656.846 1657.972
1670.188 1671.241
1707.963 1709.8
1712.101 1713.717
