WAVE1 WAVE2
1140.345 1343.792
1344.839 1345.528
1346.907 1348.009
1350.27 1351.262
1353.661 1355.894
1361.407 1362.565
1371.69 1372.655
1379.546 1380.18
1383.599 1384.674
1389.085 1390.187
1392.972 1393.771
1396.39 1397.41
1405.432 1406.397
1416.128 1417.231
1422.248 1423.626
1429.112 1429.994
1447.886 1448.74
1499.684 1501.256
1503.434 1504.674
1516.004 1517.079
1525.901 1530.532
1547.514 1548.451
1550.077 1552.503
1553.689 1555.039
1558.099 1559.037
1559.588 1560.746
1562.152 1564.633
1565.846 1566.59
1572.82 1573.454
1597.528 1598.641
1604.302 1605.57
1607.831 1608.52
1621.366 1623.709
1634.902 1636.914
1658.775 1660.429
1669.747 1671.125
1673.992 1674.929
1725.35 1726.701
1736.515 1737.617
1764.826 1765.874
