# CeSAM : ASTROPHYSIC DATA CENTER IN MARSEILLE
# VVDS project 
# Search in F02_UDEEP field AND MagI between -100.0 and 100.0 AND Spectroscopic Redshift > 0
# NUM 	ID-IAU 	ALPHA 	DELTA 	MAGI 	Z 	ZFLAGS 	 
910152436	VVDS-J022724.90-043809.9	36.853777	-4.6361048	24.5669	2.1000	1
910152646	VVDS-J022723.69-043807.2	36.8487366	-4.6353372	24.698	2.3663	2
910153130	VVDS-J022711.17-043806.2	36.7965421	-4.6350744	24.3329	1.5105	3
910153225	VVDS-J022635.17-043804.6	36.6465426	-4.6346265	23.9874	1.2802	9
910153609	VVDS-J022636.01-043800.1	36.6500684	-4.6333836	24.6551	9.9999	0
910153827	VVDS-J022632.35-043757.6	36.6348085	-4.6326925	24.4248	0.8270	1
910154164	VVDS-J022640.60-043757.1	36.6691849	-4.6325525	23.8977	1.9328	3
910154274	VVDS-J022647.47-043756.1	36.6978104	-4.6322674	23.2761	1.2224	3
910154289	VVDS-J022721.41-043754.1	36.8392151	-4.6317183	24.1793	0.7911	3
910154480	VVDS-J022641.56-043752.7	36.6731733	-4.6313215	24.5061	1.0009	3
910154567	VVDS-J022730.62-043750.7	36.8776165	-4.6307661	24.6061	9.9999	0
910154631	VVDS-J022728.75-043800.3	36.8698068	-4.6334404	23.0722	1.3327	3
910154850	VVDS-J022633.93-043751.8	36.6413854	-4.6310632	24.0627	2.3545	1
910155338	VVDS-J022639.97-043749.0	36.6665704	-4.6302991	23.6774	3.0292	3
910155762	VVDS-J022707.46-043742.1	36.7810878	-4.6283876	24.3846	0.9494	2
910155938	VVDS-J022715.15-043737.9	36.8131508	-4.6272187	23.7177	2.7249	1
910155940	VVDS-J022712.15-043739.2	36.8006665	-4.627577	24.5206	0.7020	1
910156424	VVDS-J022706.88-043734.4	36.7786688	-4.6262433	24.366	0.4660	1
910156450	VVDS-J022730.10-043736.0	36.8754544	-4.6266831	24.5556	1.2700	1
910156555	VVDS-J022706.31-043734.7	36.776296	-4.6263246	23.5477	0.2774	73
910157257	VVDS-J022649.37-043728.9	36.7057311	-4.6247108	24.6297	1.6359	3
910157260	VVDS-J022725.81-043726.1	36.8575599	-4.6239283	24.5845	1.1256	2
910157487	VVDS-J022729.48-043725.4	36.8728676	-4.6237457	24.5151	0.5788	3
910157606	VVDS-J022732.06-043725.9	36.8835919	-4.6238683	23.9332	1.3195	2
910157808	VVDS-J022649.99-043722.8	36.7083023	-4.6230136	24.6623	0.2550	2
910158043	VVDS-J022630.10-043723.0	36.6254483	-4.6230583	23.7842	1.4944	2
910158069	VVDS-J022638.75-043723.5	36.6614777	-4.6232131	23.0977	0.9598	3
910158592	VVDS-J022656.40-043716.9	36.7350231	-4.6213834	24.2168	9.9999	0
910159274	VVDS-J022717.28-043711.8	36.8220324	-4.619958	24.4798	2.1427	3
910159469	VVDS-J022717.49-043711.3	36.8228759	-4.6198092	24.1946	9.9999	20
910159663	VVDS-J022722.12-043707.6	36.8421944	-4.6188026	24.7335	9.9999	20
910159680	VVDS-J022722.53-043707.5	36.8438988	-4.6187761	24.124	1.1705	2
910159830	VVDS-J022715.77-043708.0	36.8157107	-4.618915	23.5007	1.4240	3
910159867	VVDS-J022643.65-043709.0	36.681891	-4.6191769	24.1014	1.4823	2
910160464	VVDS-J022636.93-043701.7	36.653916	-4.6171449	24.632	3.4501	2
910160900	VVDS-J022726.39-043701.2	36.8599659	-4.6170023	23.5452	1.0259	3
910161060	VVDS-J022718.21-043701.1	36.8258964	-4.616997	22.8374	1.6939	4
910162218	VVDS-J022720.91-043649.1	36.8371432	-4.6136659	23.6231	0.3302	21
910162236	VVDS-J022720.82-043648.7	36.8367604	-4.6135518	23.834	2.3539	3
910162671	VVDS-J022654.51-043646.7	36.7271363	-4.6129775	23.4796	1.7620	3
910162858	VVDS-J022719.54-043643.7	36.8314305	-4.6121541	23.6345	1.4159	3
910163493	VVDS-J022718.94-043637.9	36.8289267	-4.6105291	23.4698	1.6625	19
910163602	VVDS-J022644.83-043642.2	36.6868155	-4.6117315	22.7044	1.3263	3
910163728	VVDS-J022646.06-043636.7	36.6919214	-4.6101978	24.038	0.7254	3
910163749	VVDS-J022646.69-043637.9	36.6945581	-4.6105525	23.2734	0.0668	2
910164182	VVDS-J022631.28-043636.7	36.6303677	-4.6102219	23.6879	0.4451	3
910164609	VVDS-J022641.87-043629.9	36.6744908	-4.6083111	24.2232	9.9999	20
910164691	VVDS-J022642.18-043630.9	36.6757792	-4.608585	23.5562	1.3880	3
910165094	VVDS-J022712.89-043627.5	36.8037355	-4.6076413	23.2731	1.3294	3
910165704	VVDS-J022629.41-043622.2	36.6225683	-4.6061834	23.9394	1.5033	2
910166404	VVDS-J022652.17-043619.1	36.7174151	-4.60533	23.3214	2.1847	1
910166908	VVDS-J022653.42-043611.1	36.7226077	-4.6030967	24.3085	0.7074	4
910167079	VVDS-J022631.78-043609.7	36.6324346	-4.6027027	24.6932	0.2316	1
910167300	VVDS-J022710.44-043609.2	36.7935106	-4.602567	23.8853	0.8645	3
910167429	VVDS-J022652.91-043613.0	36.7204613	-4.6036255	24.441	2.1750	2
910167444	VVDS-J022645.46-043609.3	36.6894501	-4.6025944	24.3356	2.4297	4
910167849	VVDS-J022651.08-043606.0	36.7128373	-4.6016712	23.8508	2.4164	3
910169560	VVDS-J022611.32-043550.1	36.547193	-4.5972742	24.6543	0.7346	3
910169641	VVDS-J022723.95-043548.9	36.8498261	-4.5969398	24.5184	0.6339	2
910169720	VVDS-J022731.49-043549.4	36.8812249	-4.5970681	23.8139	1.5434	3
910169808	VVDS-J022608.49-043548.3	36.5353819	-4.5967615	24.297	0.4962	3
910169920	VVDS-J022543.10-043547.2	36.4296082	-4.5964546	24.6859	0.9505	2
910169962	VVDS-J022611.05-043548.2	36.5460439	-4.5967496	23.6695	1.0147	22
910170089	VVDS-J022544.66-043546.8	36.4360966	-4.5963466	24.1287	2.2218	2
910170193	VVDS-J022528.63-043544.9	36.3693287	-4.595819	24.7155	9.9999	0
910170456	VVDS-J022614.55-043542.4	36.5606461	-4.5951287	24.5617	0.6024	1
910170531	VVDS-J022705.70-043545.2	36.7737822	-4.5959035	23.4137	0.2874	4
910170540	VVDS-J022550.65-043542.1	36.461078	-4.5950388	24.7315	9.9999	0
910170571	VVDS-J022536.51-043543.6	36.4021528	-4.595469	23.2614	0.6828	4
910170634	VVDS-J022548.22-043542.2	36.4509513	-4.5950609	23.4817	0.7353	71
910170772	VVDS-J022644.16-043538.3	36.6840063	-4.5939975	24.5746	2.3333	1
910170886	VVDS-J022609.41-043544.0	36.5392086	-4.5955565	22.8635	0.1420	2
910171028	VVDS-J022612.51-043539.8	36.5521373	-4.5944161	23.5304	1.9400	2
910171087	VVDS-J022612.20-043541.0	36.5508583	-4.5947306	22.6174	1.1548	21
910171142	VVDS-J022534.91-043539.3	36.395474	-4.5942621	23.738	0.9620	3
910171183	VVDS-J022609.73-043537.3	36.5405656	-4.59372	24.38	1.1370	22
910171189	VVDS-J022711.61-043536.6	36.7984005	-4.593508	23.5558	0.5883	4
910171191	VVDS-J022621.16-043536.1	36.5881729	-4.5933681	24.293	0.8937	2
910171238	VVDS-J022709.32-043546.2	36.7888615	-4.5961797	22.0604	0.0681	2
910171324	VVDS-J022610.01-043537.6	36.5417157	-4.5937832	23.4171	9.9999	0
910171399	VVDS-J022643.11-043535.7	36.6796314	-4.5932773	23.8655	0.4165	4
910171438	VVDS-J022728.75-043544.1	36.8698107	-4.595605	23.2708	2.2870	2
910171543	VVDS-J022551.46-043535.3	36.4644174	-4.5931624	24.2746	2.9620	2
910171620	VVDS-J022603.46-043533.2	36.5144175	-4.5925753	23.954	9.9999	20
910171655	VVDS-J022527.79-043534.4	36.3657957	-4.5928949	24.2852	1.9287	2
910171660	VVDS-J022602.40-043533.6	36.510008	-4.5926764	23.364	0.9030	3
910171693	VVDS-J022547.90-043531.2	36.4495922	-4.5920075	24.5595	9.9999	20
910171766	VVDS-J022622.46-043532.3	36.5936094	-4.5923253	23.9354	0.3909	2
910171835	VVDS-J022603.93-043534.2	36.5163997	-4.5928535	23.7223	0.8923	3
910171952	VVDS-J022534.21-043531.0	36.3925464	-4.5919507	23.9571	1.2103	3
910172059	VVDS-J022617.25-043531.1	36.5719141	-4.5919951	24.6599	1.8240	1
910172126	VVDS-J022535.93-043530.2	36.3997316	-4.5917439	23.7118	0.9639	3
910172329	VVDS-J022618.33-043526.9	36.5764105	-4.5908121	24.7455	1.0171	2
910172421	VVDS-J022708.13-043526.7	36.7838918	-4.5907776	24.11	1.6979	2
910172522	VVDS-J022619.72-043526.0	36.5822025	-4.5905776	24.4128	2.1394	2
910172883	VVDS-J022601.65-043523.4	36.5068822	-4.5898431	23.9745	2.7002	2
910172888	VVDS-J022615.39-043523.0	36.5641316	-4.5897471	24.4899	3.3725	2
910173134	VVDS-J022619.85-043526.2	36.5827461	-4.5906267	22.8639	0.4919	22
910173520	VVDS-J022539.58-043517.0	36.4149473	-4.5880721	24.3906	0.8488	3
910173549	VVDS-J022540.69-043517.1	36.4195698	-4.5881011	24.3206	0.5543	3
910173636	VVDS-J022627.01-043518.6	36.6125575	-4.5885055	23.8055	1.4929	4
910173727	VVDS-J022625.39-043517.3	36.6058189	-4.5881508	24.4454	0.8940	3
910173888	VVDS-J022647.38-043514.5	36.6974214	-4.5873815	24.0248	2.5942	3
910174054	VVDS-J022541.28-043513.2	36.4220246	-4.5870119	23.5446	1.5541	3
910174074	VVDS-J022603.13-043512.3	36.5130811	-4.5867601	24.0007	0.9135	3
910174109	VVDS-J022714.20-043514.3	36.8091983	-4.5873218	24.0985	2.2277	4
910174127	VVDS-J022542.38-043516.7	36.4265922	-4.5879904	24.2436	1.6977	1
910174325	VVDS-J022729.62-043509.6	36.8734567	-4.5860031	24.2283	1.2703	3
910174406	VVDS-J022549.87-043509.9	36.4578162	-4.5860987	24.4172	0.3677	4
910174456	VVDS-J022725.91-043509.3	36.8579876	-4.5859206	24.4223	0.2927	2
910174537	VVDS-J022649.30-043509.5	36.7054535	-4.5859871	24.7439	2.7556	3
910174881	VVDS-J022537.32-043505.3	36.4055253	-4.5848189	24.466	0.3332	2
910175297	VVDS-J022606.84-043506.5	36.528535	-4.585149	23.5735	2.1100	3
910175575	VVDS-J022730.13-043509.8	36.8755519	-4.5860723	23.1506	0.8000	4
910175611	VVDS-J022546.94-043459.0	36.4455922	-4.5830737	24.7192	0.8290	4
910175764	VVDS-J022728.14-043459.7	36.8672532	-4.5832566	24.2475	0.3141	3
910175931	VVDS-J022552.99-043456.4	36.4707934	-4.5823471	24.5979	0.8976	2
910176274	VVDS-J022712.16-043454.3	36.8006941	-4.5817773	24.1453	2.2705	2
910176278	VVDS-J022708.76-043454.4	36.7865353	-4.5817953	24.1912	2.8860	1
910176723	VVDS-J022650.44-043451.9	36.7101885	-4.5810845	24.4373	2.4324	4
910176794	VVDS-J022723.03-043449.6	36.8459995	-4.5804526	24.4297	1.2815	21
910176802	VVDS-J022637.97-043451.6	36.6582462	-4.5810041	23.6727	1.2966	3
910176883	VVDS-J022723.16-043449.9	36.8465366	-4.5805455	23.7891	1.7437	2
910176888	VVDS-J022616.15-043452.4	36.5673258	-4.5812373	24.0321	1.3411	2
910177193	VVDS-J022532.83-043449.1	36.3868223	-4.5803154	23.0208	2.1235	4
910177224	VVDS-J022543.99-043447.0	36.4333125	-4.5797443	23.5656	1.1235	3
910177382	VVDS-J022732.15-043444.6	36.8839738	-4.5790637	24.0769	1.2893	4
910177400	VVDS-J022716.16-043445.3	36.8173496	-4.5792625	23.9654	2.1749	1
910177595	VVDS-J022545.73-043443.9	36.4405564	-4.5788617	24.3993	1.1695	3
910177620	VVDS-J022626.48-043442.8	36.6103711	-4.5785589	24.7088	2.3496	2
