# CeSAM : ASTROPHYSIC DATA CENTER IN MARSEILLE
# Head : C. Surace, Scientific head : V. Le Brun, Information system head : C. Moreau
# VVDS project 
# It these data have been of any use for your research, please include the following acknowledgment :
# This research uses data from the VIMOS VLT Deep Survey, obtained from the VVDS database operated by Cesam, Laboratoire d'Astrophysique de Marseille, France.
# and refer to the paper: 
# Le Fèvre et al., 2013, arXiv:1307.0545
# Search in F10_WIDE field AND MagI between -100 and 100 AND Spectroscopic Redshift > 0
# NUM 	ID-IAU 	ALPHA 	DELTA 	Z 	ZFLAGS 	MAGI 	MAG_U_CFH12K 	MAGERR_AUTO_U 	MAG_B_CFH12K 	MAGERR_AUTO_B 	MAG_V_CFH12K 	MAGERR_AUTO_V 	MAG_R_CFH12K 	MAGERR_AUTO_R 	MAG_I_CFH12K 	MAGERR_AUTO_I 	 
100017386	VVDS-J100253.49+010130.4	150.722891	1.0251306	9.9999	20	22.9473	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.9473	0.0853
100017416	VVDS-J100328.33+010128.8	150.868059	1.0246786	0.4090	1	22.3779	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.3779	0.0737
100017435	VVDS-J100632.40+010126.2	151.63501	1.0239641	0.4410	2	22.1434	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.1434	0.046
100017462	VVDS-J100637.30+010127.4	151.65544	1.0243037	0.6620	2	21.8684	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.8684	0.0281
100017534	VVDS-J100657.65+010129.3	151.740238	1.0248176	9.9999	0	22.4925	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.4925	0.0484
100017539	VVDS-J100527.69+010128.4	151.365382	1.0245753	9.9999	0	22.4942	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.4942	0.0375
100017544	VVDS-J100507.43+010130.3	151.280974	1.0250942	1.0235	2	22.2861	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.2861	0.0337
100017582	VVDS-J100431.87+010129.7	151.132794	1.0249331	9.9999	0	22.1301	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.1301	0.0472
100017623	VVDS-J100650.33+010130.1	151.709726	1.0250293	0.9833	1	22.2657	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.2657	0.0393
100017640	VVDS-J100437.07+010128.5	151.154486	1.0245951	0.1782	4	21.3242	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.3242	0.0171
100017649	VVDS-J100253.82+010130.0	150.724279	1.0250047	0.4157	3	21.6607	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.6607	0.0371
100017672	VVDS-J100505.35+010131.6	151.272307	1.0254449	0.7829	1	22.3371	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.3371	0.0353
100017683	VVDS-J100404.10+010132.0	151.017106	1.0255681	0.6690	2	22.1271	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.1271	0.0273
100017688	VVDS-J100554.24+010130.3	151.476032	1.0250967	0.4533	3	22.2231	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.2231	0.0242
100017737	VVDS-J100501.03+010132.5	151.254317	1.0257066	0.9857	2	22.4874	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.4874	0.0389
100017749	VVDS-J100742.70+010132.6	151.927922	1.0257369	0.7568	2	22.3383	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.3383	0.0347
100017847	VVDS-J100308.62+010133.2	150.785956	1.0259124	1.2060	3	22.0329	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.0329	0.0377
100017966	VVDS-J100701.10+010132.8	151.754598	1.0257923	0.4675	1	22.0229	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.0229	0.0364
100018010	VVDS-J100603.17+010133.8	151.51322	1.0260759	1.9088	1	22.1589	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.1589	0.0229
100018026	VVDS-J100303.20+010129.9	150.763339	1.0249836	0.5267	4	20.668	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	20.668	0.0162
100018194	VVDS-J100456.70+010136.8	151.236285	1.0269052	0.7993	2	22.2154	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.2154	0.0288
100018287	VVDS-J100743.66+010135.6	151.931949	1.026559	0.7135	2	21.0467	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.0467	0.0159
100018299	VVDS-J100747.02+010136.8	151.945929	1.0268914	0.6452	2	21.9932	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.9932	0.029
