# CeSAM : ASTROPHYSIC DATA CENTER IN MARSEILLE
# Head : C. Surace, Scientific head : V. Le Brun, Information system head : C. Moreau
# VVDS project 
# It these data have been of any use for your research, please include the following acknowledgment :
# This research uses data from the VIMOS VLT Deep Survey, obtained from the VVDS database operated by Cesam, Laboratoire d'Astrophysique de Marseille, France.
# and refer to the paper: 
# Le Fèvre et al., 2013, arXiv:1307.0545
# Search in F22_WIDE field AND MagI between -100 and 100 AND Spectroscopic Redshift > 0
# NUM 	ID-IAU 	ALPHA 	DELTA 	Z 	ZFLAGS 	MAGI 	MAG_U_CFH12K 	MAGERR_AUTO_U 	MAG_B_CFH12K 	MAGERR_AUTO_B 	MAG_V_CFH12K 	MAGERR_AUTO_V 	MAG_R_CFH12K 	MAGERR_AUTO_R 	MAG_I_CFH12K 	MAGERR_AUTO_I 	MAG_U_CFHTLS 	MAGERR_AUTO_U 	MAG_G_CFHTLS 	MAGERR_AUTO_G 	MAG_R_CFHTLS 	MAGERR_AUTO_R 	MAG_I_CFHTLS 	MAGERR_AUTO_I 	MAG_Z_CFHTLS 	MAGERR_AUTO_Z 	 
220000481	VVDS-J221648.25+002433.6	334.201059	0.4093494	9.9999	0	22	99.99	99.99	23.1578	0.0585	23.1647	0.0434	24.122	0.1124	22	0.1965	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220000646	VVDS-J221633.26+002435.1	334.138618	0.4097652	0.9328	2	22.2624	23.8878	0.4758	24.0004	0.0666	23.5345	0.0307	22.955	0.0155	22.2624	0.1325	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220000736	VVDS-J221409.63+002436.6	333.540158	0.4101712	0.6323	1	22.3622	24.375	0.6031	-99	-99	-99	-99	-99	-99	22.3622	0.1483	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220000841	VVDS-J221534.46+002436.7	333.893597	0.4101969	0.5415	3	21.557	22.9811	0.4556	-99	-99	-99	-99	-99	-99	21.557	0.1198	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220000861	VVDS-J221653.61+002436.3	334.223396	0.4101066	0.5043	3	20.5518	99.99	99.99	23.7699	0.0593	22.3549	0.0157	21.1194	0.0044	20.5518	0.0742	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220000947	VVDS-J221637.01+002437.3	334.154227	0.4103697	0.4550	1	21.1277	99.99	99.99	24.5354	0.1058	23.1268	0.0241	21.807	0.008	21.1277	0.1013	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001011	VVDS-J221635.77+002442.6	334.149068	0.4118363	9.9999	0	22.0193	99.99	99.99	25.7256	0.2259	24.2053	0.0475	23.2086	0.0218	22.0193	0.1569	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001106	VVDS-J221410.30+002444.9	333.542948	0.412497	0.9912	2	22.4886	99.99	99.99	-99	-99	-99	-99	-99	-99	22.4886	0.1738	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001160	VVDS-J221353.96+002444.3	333.474849	0.4123294	0.9061	2	22.3034	-99.9	-99.9	-99	-99	-99	-99	-99	-99	22.3034	0.1525	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001273	VVDS-J221658.34+002441.9	334.243106	0.4116405	0.7492	2	21.8093	23.5044	0.4387	23.0674	0.0353	22.7983	0.0221	22.182	0.0117	21.8093	0.1431	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001429	VVDS-J221655.76+002445.0	334.232339	0.4125258	0.3545	22	20.966	22.6228	0.4186	22.5353	0.0268	21.725	0.0113	21.2624	0.0061	20.966	0.0939	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001430	VVDS-J221656.10+002446.0	334.23376	0.4127938	0.5416	3	21.223	23.7084	0.4972	23.3058	0.0402	22.5212	0.0172	21.6411	0.0067	21.223	0.1042	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001443	VVDS-J221447.20+002447.1	333.696674	0.4130984	0.5634	3	21.5892	99.99	99.99	-99	-99	-99	-99	-99	-99	21.5892	0.1247	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001505	VVDS-J221754.33+002442.6	334.476398	0.4118368	0.4951	2	21.7836	23.4776	0.4499	23.5728	0.0496	22.8402	0.0224	22.1418	0.0107	21.7836	0.1522	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001584	VVDS-J221632.56+002435.5	334.135707	0.409872	0.3310	2	19.3015	22.421	0.4049	21.7084	0.0196	20.495	0.0054	19.7423	0.0019	19.3015	0.0328	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001647	VVDS-J221430.30+002454.3	333.62629	0.415096	0.4487	3	22.0375	23.711	0.5011	-99	-99	-99	-99	-99	-99	22.0375	0.1491	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001749	VVDS-J221431.54+002455.8	333.631423	0.4155005	0.4267	3	22.3855	24.1191	0.5453	-99	-99	-99	-99	-99	-99	22.3855	0.1792	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001758	VVDS-J221723.93+002457.0	334.349719	0.4158514	0.7408	2	22.4515	99.99	99.99	24.3352	0.0696	23.9213	0.0399	23.1102	0.0184	22.4515	0.1769	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001807	VVDS-J221536.79+002450.4	333.903293	0.4140218	0.4205	1	21.991	23.7269	0.5068	-99	-99	-99	-99	-99	-99	21.9906	0.1128	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001855	VVDS-J221438.64+002456.4	333.661028	0.4156691	0.7577	1	21.7563	24.1186	0.4685	-99	-99	-99	-99	-99	-99	21.7563	0.1348	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001897	VVDS-J221458.40+002502.1	333.743365	0.4172722	0.3955	21	23.954	99.99	99.99	-99	-99	-99	-99	-99	-99	23.9535	0.4023	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001949	VVDS-J221641.54+002455.6	334.173112	0.4154604	0.8267	2	22.0073	99.99	99.99	24.1553	0.1023	23.315	0.0372	22.6834	0.0217	22.0073	0.1695	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220001963	VVDS-J221351.58+002501.2	333.464931	0.4170264	2.6810	14	22.2813	-99.9	-99.9	-99	-99	-99	-99	-99	-99	22.2813	0.1789	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002022	VVDS-J221650.37+002501.7	334.209896	0.4171572	0.3524	1	22.4001	23.9786	0.4862	23.2368	0.0375	22.7596	0.0169	22.4755	0.011	22.4001	0.187	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002064	VVDS-J221541.80+002501.3	333.924205	0.4170384	1.0150	2	22.210	24.3439	0.494	-99	-99	-99	-99	-99	-99	22.2101	0.1257	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002149	VVDS-J221356.45+002500.7	333.485232	0.4168871	0.0571	3	21.9587	-99.9	-99.9	-99	-99	-99	-99	-99	-99	21.9587	0.1602	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002163	VVDS-J221644.12+002502.5	334.183874	0.4173781	0.7440	2	22.4675	99.99	99.99	24.4193	0.0855	23.7675	0.036	23.0425	0.0185	22.4675	0.1885	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002189	VVDS-J221542.21+002458.6	333.925896	0.4162858	0.3419	3	22.198	24.3416	0.5629	-99	-99	-99	-99	-99	-99	22.1976	0.1463	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002394	VVDS-J221656.72+002509.6	334.236349	0.419334	0.7464	3	22.2921	23.9923	0.4816	23.5222	0.0417	23.3219	0.0274	22.6766	0.0138	22.2921	0.1803	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002462	VVDS-J221654.37+002508.4	334.226542	0.4190116	0.4632	4	22.0053	23.7569	0.4533	23.4908	0.0433	22.8366	0.021	22.2095	0.0092	22.0053	0.1527	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002522	VVDS-J221650.89+002506.5	334.212068	0.4184914	0.5417	3	22.0524	23.709	0.4734	23.3422	0.0462	22.9092	0.0226	22.3839	0.0134	22.0524	0.1639	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002523	VVDS-J221749.79+002508.4	334.457484	0.4190086	1.0921	2	21.7668	99.99	99.99	99.99	99.99	25.0468	0.1521	23.1438	0.0279	21.7668	0.151	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002564	VVDS-J221646.55+002506.2	334.193967	0.4184091	0.6157	2	21.0188	99.99	99.99	24.7959	0.1483	23.1619	0.0287	21.8444	0.0103	21.0188	0.093	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002653	VVDS-J221402.92+002514.5	333.512183	0.4207212	0.2113	4	22.1462	24.4473	0.5586	-99	-99	-99	-99	-99	-99	22.1462	0.1793	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002708	VVDS-J221425.02+002514.6	333.604272	0.4207484	0.5312	2	22.2557	99.99	99.99	-99	-99	-99	-99	-99	-99	22.2557	0.1728	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002730	VVDS-J221447.56+002515.5	333.698179	0.4209904	5.2700	21	22.5747	99.99	99.99	-99	-99	-99	-99	-99	-99	22.5747	0.2002	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002752	VVDS-J221800.37+002513.3	334.501581	0.420387	1.6832	1	22.1476	99.99	99.99	25.5087	0.2404	24.5603	0.093	23.3769	0.0338	22.1476	0.1892	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002761	VVDS-J221429.75+002515.7	333.623975	0.4210499	0.5407	3	22.1536	99.99	99.99	-99	-99	-99	-99	-99	-99	22.1536	0.1601	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002778	VVDS-J221423.64+002510.8	333.598527	0.4196942	0.6165	1	21.7469	24.1383	0.534	-99	-99	-99	-99	-99	-99	21.7469	0.1447	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002839	VVDS-J221659.37+002512.9	334.247404	0.420264	0.6530	3	22.0846	99.99	99.99	24.3669	0.098	23.653	0.0461	22.6812	0.0185	22.0846	0.165	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002840	VVDS-J221407.29+002517.9	333.530409	0.421658	0.6779	4	22.2371	23.7526	0.4411	-99	-99	-99	-99	-99	-99	22.2371	0.18	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220002978	VVDS-J221749.08+002513.9	334.454536	0.4205417	1.5260	9	20.2027	22.1768	0.3532	21.4061	0.0131	20.8373	0.006	20.4446	0.0027	20.2027	0.0686	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003032	VVDS-J221530.89+002517.8	333.878748	0.4216293	3.5663	12	21.592	23.734	0.5076	-99	-99	-99	-99	-99	-99	21.592	0.0922	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003060	VVDS-J221620.50+002517.7	334.085421	0.421604	0.7045	3	21.4605	23.4023	0.4302	-99	-99	-99	-99	21.9795	0.0083	21.4605	0.0891	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003065	VVDS-J221652.32+002520.2	334.218024	0.4222845	0.5386	2	22.3142	23.9084	0.499	23.6228	0.0495	23.2613	0.0258	22.5592	0.0132	22.3142	0.1728	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003073	VVDS-J221758.69+002515.6	334.494582	0.4210093	0.7554	2	20.8385	99.99	99.99	24.8075	0.167	23.2395	0.0376	21.9083	0.0117	20.8385	0.093	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003092	VVDS-J221736.28+002518.4	334.401196	0.4217799	0.5167	4	20.9601	23.0595	0.3929	22.6214	0.0266	22.0863	0.0133	21.3307	0.0058	20.9601	0.1324	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003185	VVDS-J221348.35+002516.4	333.45148	0.4212464	0.6193	2	20.6666	-99.9	-99.9	-99	-99	-99	-99	-99	-99	20.6666	0.0835	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003186	VVDS-J221509.89+002517.7	333.791242	0.4216046	0.4123	3	21.118	22.6907	0.4255	-99	-99	-99	-99	-99	-99	21.1179	0.1333	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003193	VVDS-J221409.04+002520.4	333.537684	0.4223577	0.4497	2	22.4365	24.5052	0.5878	-99	-99	-99	-99	-99	-99	22.4365	0.2005	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003242	VVDS-J221604.23+002522.9	334.017647	0.4230324	0.2428	3	21.1453	23.5451	0.4152	-99	-99	-99	-99	-99	-99	21.1453	0.0792	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003341	VVDS-J221357.41+002524.8	333.489235	0.4235615	0.4520	2	22.4936	-99.9	-99.9	-99	-99	-99	-99	-99	-99	22.4936	0.2206	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003384	VVDS-J221444.43+002525.6	333.685154	0.4237942	0.4099	2	22.3062	24.6906	0.6008	-99	-99	-99	-99	-99	-99	22.3062	0.1727	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003609	VVDS-J221731.32+002530.8	334.38053	0.4252286	0.8202	3	22.2462	99.99	99.99	26.4731	0.4143	25.0479	0.1001	23.5423	0.0262	22.2462	0.1626	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003672	VVDS-J221434.08+002532.1	333.642041	0.4256	0.5899	2	21.8155	99.99	99.99	-99	-99	-99	-99	-99	-99	21.8155	0.1343	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003741	VVDS-J221500.13+002530.6	333.750557	0.4251691	0.4929	9	22.054	99.99	99.99	-99	-99	-99	-99	-99	-99	22.0544	0.1512	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003860	VVDS-J221438.11+002531.7	333.658808	0.4254783	0.4549	4	20.6996	99.99	99.99	-99	-99	-99	-99	-99	-99	20.6996	0.0801	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003988	VVDS-J221658.78+002534.8	334.244921	0.426347	0.7445	3	22.4645	24.2113	0.5321	24.1012	0.0706	23.7468	0.0435	22.9577	0.02	22.4645	0.2003	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220003991	VVDS-J221743.04+002536.1	334.42935	0.4267029	0.8431	2	22.3169	23.9216	0.4472	23.1866	0.0389	22.7323	0.0211	22.3594	0.014	22.3169	0.228	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220004104	VVDS-J221452.72+002533.8	333.719695	0.4260724	2.7023	11	20.066	23.0879	0.4429	-99	-99	-99	-99	-99	-99	20.0664	0.0603	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220004137	VVDS-J221544.63+002533.0	333.935989	0.4258534	0.2045	2	21.648	23.4863	0.4304	-99	-99	-99	-99	-99	-99	21.6483	0.105	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220004150	VVDS-J221747.05+002532.1	334.446072	0.4256098	0.7522	2	21.5894	99.99	99.99	23.9802	0.0836	23.3125	0.04	22.4269	0.0185	21.5894	0.1549	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220004222	VVDS-J221549.97+002538.8	333.958243	0.4274532	0.6205	4	22.368	24.1549	0.4436	-99	-99	-99	-99	-99	-99	22.3682	0.1317	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220004232	VVDS-J221714.03+002520.7	334.30848	0.4224392	0.2955	4	19.7442	21.7901	0.3587	21.3394	0.0132	20.5269	0.0055	20.0694	0.0025	19.7442	0.0502	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220004299	VVDS-J221548.18+002541.5	333.950755	0.4282065	0.5822	2	22.242	23.68	0.4638	-99	-99	-99	-99	-99	-99	22.2424	0.1257	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220004329	VVDS-J221637.41+002541.3	334.155901	0.4281471	0.7453	2	21.7891	24.0173	0.5187	23.5546	0.0488	22.951	0.0208	22.3062	0.0109	21.7891	0.1403	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220004476	VVDS-J221359.21+002542.2	333.496745	0.4283927	0.4476	4	20.2284	99.99	99.99	-99	-99	-99	-99	-99	-99	20.2284	0.0672	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220004603	VVDS-J221743.50+002543.0	334.431288	0.428614	0.7412	2	21.2726	99.99	99.99	23.727	0.062	23.142	0.032	22.1	0.0124	21.2726	0.1187	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220004681	VVDS-J221750.54+002543.0	334.460605	0.4286127	0.2164	4	19.4979	21.7216	0.3478	21.2428	0.0128	20.3902	0.0054	19.9116	0.002	19.4979	0.049	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220004795	VVDS-J221744.00+002549.9	334.433359	0.4305311	0.8200	2	21.5898	24.3771	0.475	23.7326	0.0516	23.0836	0.0245	22.3124	0.0111	21.5898	0.1282	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
220004796	VVDS-J221427.96+002551.7	333.616538	0.431051	1.2836	9	22.4854	99.99	99.99	-99	-99	-99	-99	-99	-99	22.4854	0.187	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9	-99.9
