Z_SYS,DELTAV_SYS,WAVELENGTH,LINE_ID,z_ABS,SIGLEVEL,S/N,EQW,EQW_ERR,BVALUE,BVALUE_ERR,LOGN_lower_limit,LOGN,LOGN_ERR,FLAG_FIT,LCOD,NUM_SYS_LINES,NUM_METAL_LINES
0.002834,30,1219.1,Lya 1215,0.002834,6,7,135,135,27.1,5.4,0,13.53,0.06,1,0,1,0
0.015926,30,1235.01,Lya 1215,0.015926,4.9,19,26,5,7.7,5.5,0,12.77,0.09,0,0,1,0
0.042849,30,1267.74,Lya 1215,0.042849,8.7,18,105,10,55.9,7.1,0,13.33,0.04,0,0,1,0
0.062954,30,1292.18,Lya 1215,0.062954,11.9,16,108,7,24.8,2.7,0,13.41,0.03,1,0,1,0
0.078954,30,1311.63,Lya 1215,0.078954,4.1,16,25,7,8.6,7,0,12.74,0.12,0,0,1,0
0.080352,30,1313.33,Lya 1215,0.080352,4,18,33,11,26.2,11.6,0,12.82,0.12,0,0,1,0
0.081594,30,1314.84,Lya 1215,0.081594,13.2,17,112,8,24.6,3,0,13.43,0.04,0,0,1,0
0.082994,30,1316.54,Lya 1215,0.082994,15.9,15,245,27,64.4,6.4,0,13.75,0.04,1,0,1,0
0.090822,28,1326.07,Lya 1215,0.090831,55.2,21,510,28,46.9,2.9,1,14.41,0.04,1,4,1,0
0.091076,33,1326.37,Lya 1215,0.091076,37.3,21,233,33,20,3.7,1,14.15,0.11,0,5,3,2
0.091076,33,1689.13,CIV 1548,0.091019,9.2,11,155,22,27.1,3.9,0,13.7,0.06,0,0,3,2
0.091076,33,1691.95,CIV 1550,0.091031,7.2,11,104,17,18.7,3.8,0,13.83,0.06,0,0,3,2
0.091308,35,1326.68,Lya 1215,0.091337,15.7,20,100,7,18.7,2.5,0,13.41,0.04,0,1,3,2
0.091308,35,1689.5,CIV 1548,0.091264,6,11,78,49,14.3,4.1,0,13.4,0.07,0,0,3,2
0.091308,35,1692.37,CIV 1550,0.091302,4.5,11,69,69,22.1,6.8,0,13.6,0.09,0,0,3,2
0.09416,27,1330.11,Lya 1215,0.094156,13.5,20,101,87,27.4,10.3,0,13.36,0.36,0,0,3,2
0.09416,27,1525.03,SiIV 1393,0.094198,6.6,21,40,9,11.5,4.2,0,12.73,0.09,0,0,3,2
0.09416,27,1534.87,SiIV 1402,0.094169,3.4,21,33,20,35.5,15.3,0,12.89,0.19,0,0,3,2
0.09441,49,1330.42,Lya 1215,0.09441,53,20,441,32,34.4,2.7,1,14.56,0.08,0,7,1,0
0.112384,30,1352.27,Lya 1215,0.112384,6.8,18,54,33,25.5,5.5,0,13.05,0.07,0,0,1,0
0.124115,30,1366.53,Lya 1215,0.124115,11.5,18,104,8,33.8,3.6,0,13.36,0.03,0,0,1,0
0.141644,30,1387.84,Lya 1215,0.141644,5.8,18,41,7,20.1,5.3,0,12.93,0.07,0,0,1,0
0.16513,66,1416.42,Lya 1215,0.165152,74.5,20,686,40,45.1,2.3,1,15.09,0.1,1,9,4,2
0.16513,66,1195.13,Lyb 1025,0.165179,48,16,446,33,34.4,2.6,1,15.81,0.18,0,9,4,2
0.16513,66,1202.4,OVI 1032,0.165199,5.4,15,84,31,81.8,14.2,0,13.86,0.13,0,0,4,2
0.16513,66,1138.29,CIII 977,0.165063,12.5,7,295,35,45.3,6.2,0,13.93,0.06,1,2,4,2
0.159051,29,1408.99,Lya 1215,0.159051,5.8,17,43,10,20,6.1,0,12.96,0.09,0,0,1,0
0.17139,29,1424,Lya 1215,0.17139,4.4,31,42,12,102.9,29.1,0,12.9,0.1,0,0,1,0
0.173287,30,1426.31,Lya 1215,0.173287,6,27,50,6,55.9,9.8,0,12.99,0.06,0,0,1,0
0.176166,31,1429.81,Lya 1215,0.176166,43.2,27,310,7,41,1.1,0,13.99,0.01,0,1,1,0
0.190162,36,1446.82,Lya 1215,0.190161,40.1,22,364,7,44.2,1,0,14.09,0.01,0,2,2,0
0.190162,36,1220.78,Lyb 1025,0.190162,3.6,10,49,50,28.6,20.2,0,13.93,0.33,0,0,2,0
0.192786,30,1450.01,Lya 1215,0.192786,20.4,25,183,7,55.9,2.7,0,13.61,0.02,1,0,1,0
0.194645,29,1452.27,Lya 1215,0.194645,6.9,25,64,7,60,9.3,0,13.1,0.05,0,0,1,0
0.198667,29,1457.16,Lya 1215,0.198667,8.9,21,87,8,46.9,5.4,0,13.25,0.04,0,0,1,0
0.202731,30,1462.08,Lya 1215,0.202731,4.4,21,48,24,59,15.7,0,12.97,0.17,0,0,1,0
0.208045,30,1468.56,Lya 1215,0.208045,4.4,22,34,8,31.5,10.5,0,12.82,0.1,0,0,1,0
0.209139,30,1469.89,Lya 1215,0.209139,10.3,19,115,10,50.5,5.3,0,13.38,0.04,1,0,2,1
0.209139,30,1247.68,OVI 1032,0.209069,8.5,22,56,13,34.1,5.7,0,13.7,0.08,0,0,2,1
0.22541,30,1489.67,Lya 1215,0.22541,5.7,26,64,13,92.8,18.6,0,13.09,0.08,0,0,1,0
0.239699,30,1507.04,Lya 1215,0.239699,19.2,24,151,6,41.1,2.6,0,13.54,0.02,0,0,1,0
0.252737,29,1522.89,Lya 1215,0.252737,6.5,19,44,6,17.1,4.4,0,12.97,0.06,0,0,1,0
0.279069,30,1554.9,Lya 1215,0.279069,8,17,80,11,34,5.3,0,13.22,0.05,0,0,1,0
0.279669,29,1555.63,Lya 1215,0.279669,6.6,15,59,7,19.6,4.1,0,13.11,0.05,0,0,1,0
0.290182,30,1568.41,Lya 1215,0.290182,32.7,16,336,12,32,1.3,1,14.2,0.03,0,3,4,2
