WAVE FLUX ERROR
1388.92 1.0 0.1
1388.95 1.0 0.1
1388.98 1.0 0.1
1389.01 1.0 0.1
1389.04 1.0 0.1
1389.07 1.0 0.1
1389.1 1.0 0.1
1389.13 1.0 0.1
1389.16 1.0 0.1
1389.19 1.0 0.1
1389.22 1.0 0.1
1389.25 1.0 0.1
1389.28 1.0 0.1
1389.31 1.0 0.1
1389.34 1.0 0.1
1389.37 1.0 0.1
1389.4 1.0 0.1
1389.43 1.0 0.1
1389.46 1.0 0.1
1389.49 1.0 0.1
1389.52 1.0 0.1
1389.55 1.0 0.1
1389.58 1.0 0.1
1389.61 1.0 0.1
1389.64 1.0 0.1
1389.67 1.0 0.1
1389.7 1.0 0.1
1389.73 1.0 0.1
1389.76 1.0 0.1
1389.79 1.0 0.1
1389.82 1.0 0.1
1389.85 1.0 0.1
1389.88 1.0 0.1
1389.91 1.0 0.1
1389.94 1.0 0.1
1389.97 1.0 0.1
1390.0 1.0 0.1
1390.03 1.0 0.1
1390.06 1.0 0.1
1390.09 1.0 0.1
1390.12 1.0 0.1
1390.15 1.0 0.1
1390.18 1.0 0.1
1390.21 1.0 0.1
1390.24 1.0 0.1
1390.27 1.0 0.1
1390.3 1.0 0.1
1390.33 1.0 0.1
1390.36 1.0 0.1
1390.39 1.0 0.1
1390.42 1.0 0.1
1390.45 1.0 0.1
1390.48 1.0 0.1
1390.51 1.0 0.1
1390.54 1.0 0.1
1390.57 1.0 0.1
1390.6 1.0 0.1
1390.63 1.0 0.1
1390.66 1.0 0.1
1390.69 1.0 0.1
1390.72 1.0 0.1
1390.75 1.0 0.1
1390.78 1.0 0.1
1390.81 1.0 0.1
1390.84 1.0 0.1
1390.87 1.0 0.1
1390.9 1.0 0.1
1390.93 1.0 0.1
1390.96 1.0 0.1
1390.99 1.0 0.1
1391.02 1.0 0.1
1391.05 1.0 0.1
1391.08 1.0 0.1
1391.11 1.0 0.1
1391.14 1.0 0.1
1391.17 1.0 0.1
1391.2 1.0 0.1
1391.23 1.0 0.1
1391.26 1.0 0.1
1391.29 1.0 0.1
1391.32 1.0 0.1
1391.35 1.0 0.1
1391.38 1.0 0.1
1391.41 1.0 0.1
1391.44 1.0 0.1
1391.47 1.0 0.1
1391.5 1.0 0.1
1391.53 1.0 0.1
1391.56 1.0 0.1
1391.59 1.0 0.1
1391.62 1.0 0.1
1391.65 1.0 0.1
1391.68 1.0 0.1
1391.71 1.0 0.1
1391.74 1.0 0.1
1391.77 1.0 0.1
1391.8 1.0 0.1
1391.83 1.0 0.1
1391.86 1.0 0.1
1391.89 1.0 0.1
1391.92 1.0 0.1
1391.95 1.0 0.1
1391.98 1.0 0.1
1392.01 1.0 0.1
1392.04 1.0 0.1
1392.07 1.0 0.1
1392.1 1.0 0.1
1392.13 1.0 0.1
1392.16 1.0 0.1
1392.19 1.0 0.1
1392.22 1.0 0.1
1392.25 1.0 0.1
1392.28 1.0 0.1
1392.31 1.0 0.1
1392.34 1.0 0.1
1392.37 1.0 0.1
1392.4 1.0 0.1
1392.43 1.0 0.1
1392.46 1.0 0.1
1392.49 1.0 0.1
1392.52 1.0 0.1
1392.55 1.0 0.1
1392.58 1.0 0.1
1392.61 1.0 0.1
1392.64 1.0 0.1
1392.67 1.0 0.1
1392.7 1.0 0.1
1392.73 1.0 0.1
1392.76 1.0 0.1
1392.79 1.0 0.1
1392.82 1.0 0.1
1392.85 1.0 0.1
1392.88 1.0 0.1
1392.91 1.0 0.1
