Line			z		err_z	        b	   err_b     	  logN	     err_logN    chi_sq

HI_1      	    0.3467724083    0.0000192899    38.04186      6.37382  	13.522009    0.047428	2.3009685
HI_2      	    0.3477063401    0.0000169038    75.25082      0.09933  	14.338162    0.033186	2.3009685
HI_3     	    0.3479118292    0.0000016190    16.49013      0.33058  	16.124889    0.019506	2.3009685
OVI_1031_1037_1     0.3475763617    0.0000056486    32.32231      2.05696  	14.283826    0.018179	1.4425575
OVI_1031_1037_2     0.3478853411    0.0000021747    14.01728      2.13409	13.920575    0.032728	1.4425575
CII     	    0.3478890157    0.0000058543     3.13666     15.58270  	14.398758    9.907574	0.9010334
CIII_1    	    0.3474786500    0.0000205743    64.10833      6.88006  	13.584550    0.033999	1.2963870 
CIII_2    	    0.3479247952    0.0000057813    23.67288      2.06605  	13.804807    0.039582	1.2963870
SiII     	    0.3479008172    0.0000052803     3.38233     18.50836  	13.286076   10.080076   0.9735482
SiIII	            0.3479056072    0.0000107225     9.79564      4.62302  	12.881578    0.162818	4.1267685


         
