SiIII    0.2249516675    0.0000190727    35.03894      6.98373  12.803234    0.058471  1.1836367

C III    0.2249862187    0.0000024163    45.03468      0.91372  13.972539    0.006615  1.3758480 
C III    0.2253342276    0.0000130441    13.05162      6.21069  12.471005    0.091765  1.3758480 
C III    0.2264055794    0.0000322607    19.72413     13.67432  12.128282    0.146678  1.3758480

O VI     0.2249808289    0.0000036774    45.39677      1.35523  14.243250    0.009108  1.7494653 
O VI     0.2252254380    0.0000075716     1.32446      3.45702  13.235705    0.704700  1.7494653 
O VI     0.2263856209    0.0000047149    12.65554      2.17167  13.423645    0.028401  1.7494653

H I      0.2248659017    0.0000699081    49.10389      4.35507     15.268288    0.132768   1073
H I      0.2250841123    0.0000687099    14.50097      8.60473     15.012031    0.440466   1073
H I      0.2261303635    0.0006177562    56.59603A    222.81837  13.479715    1.100553   1073  

------- 5 component fit ----------
H I      0.2244883407A    0.0000167241    25.70141A      4.85382  13.703704A    0.073213  0 ! 
H I      0.2248499914A    0.0000056350    37.92007A      1.67322  15.229016A    0.015284  0 !  
H I      0.2250839537A    0.0000034979    16.30154A      0.79196  15.080965A    0.026046  0 ! 
H I      0.2253127537A    0.0000011643     4.83090A     11.31940  12.814194A   0.363671  0 !
H I      0.2261534508A   0.0000000000    59.12604A     10.03322  13.480139A    0.055629  0 ! 
SiII    -0.0004468869A    0.0000045452    24.60621A      1.55019  14.072995A    0.021999  0 ! 
SiII    -0.0001117073A    0.0000034008    41.96336A      1.94160  15.120020A    0.072762  0 ! 
 >>       2.4404780000SZ  0.0000000000    -6.87800A      0.44966   1.000000SH  0.000000  2 ! 
 >>       2.4404780000SZ  0.0000000000    -9.61439A      2.37399   1.000000SH  0.000000  5 !
