    WAVE    FLUX    ERROR   CONT
    1132.678680    3.08638e-15    2.31711e-15    6.81998e-15
    1132.708590    3.70823e-15    2.47472e-15    6.82395e-15
    1132.738500    6.35596e-15    2.90026e-15    6.82788e-15
    1132.768410    2.82186e-15    2.31027e-15    6.83175e-15
    1132.798320    2.81383e-15    2.30884e-15    6.83558e-15
    1132.828230    2.79354e-15    2.30610e-15    6.83936e-15
    1132.858140    2.02760e-16    1.74101e-15    6.84310e-15
    1132.888050    2.21821e-16    1.73867e-15    6.84679e-15
    1132.917960    1.09253e-15    1.94338e-15    6.85044e-15
    1132.947870    1.09669e-15    1.94095e-15    6.85404e-15
    1132.977780   -6.50060e-16    1.50111e-15    6.85760e-15
    1133.007690    2.41045e-16    1.73246e-15    6.86111e-15
    1133.037600    2.62205e-16    1.73105e-15    6.86458e-15
    1133.067510   -6.13235e-16    1.49693e-15    6.86801e-15
    1133.097420    2.45429e-16    1.72777e-15    6.87140e-15
    1133.127330    2.61213e-16    1.72661e-15    6.87475e-15
    1133.157240    2.56539e-16    1.72450e-15    6.87805e-15
    1133.187150    2.00277e-15    2.11145e-15    6.88132e-15
    1133.217060    2.02599e-15    2.10946e-15    6.88454e-15
    1133.246970    2.04828e-15    2.10664e-15    6.88773e-15
    1133.276880    2.91410e-15    2.27431e-15    6.89088e-15
    1133.306790    8.09101e-15    3.09841e-15    6.89398e-15
    1133.336700    5.51484e-15    2.71472e-15    6.89705e-15
    1133.366610    1.32297e-14    3.73898e-15    6.90009e-15
    1133.396520    1.06541e-14    3.42807e-15    6.90308e-15
    1133.426430    8.05590e-15    3.08682e-15    6.90604e-15
    1133.456340    7.18979e-15    2.96193e-15    6.90896e-15
    1133.486250    4.63384e-15    2.56280e-15    6.91185e-15
    1133.516160    6.33705e-15    2.83117e-15    6.91470e-15
    1133.546070    9.75193e-15    3.30405e-15    6.91751e-15
    1133.575980    1.23078e-14    3.61637e-15    6.92030e-15
    1133.605890    3.76521e-15    2.40727e-15    6.92304e-15
    1133.635800    8.04903e-15    3.06728e-15    6.92575e-15
    1133.665710    5.49774e-15    2.68664e-15    6.92843e-15
    1133.695620    5.53604e-15    2.68425e-15    6.93108e-15
    1133.725530    7.24262e-15    2.93769e-15    6.93369e-15
    1133.755440    6.39558e-15    2.81030e-15    6.93627e-15
    1133.785350    7.26056e-15    2.93339e-15    6.93882e-15
    1133.815260    3.02583e-15    2.23677e-15    6.94134e-15
    1133.845170    6.38077e-15    2.80281e-15    6.94383e-15
    1133.875080    3.82744e-15    2.38770e-15    6.94628e-15
    1133.904990    4.68057e-15    2.53061e-15    6.94871e-15
    1133.934900    4.65602e-15    2.52778e-15    6.95110e-15
    1133.964810    2.13733e-15    2.06151e-15    6.95347e-15
    1133.994720    2.98259e-15    2.22512e-15    6.95580e-15
    1134.024630    2.98047e-15    2.22318e-15    6.95811e-15
    1134.054540    2.11890e-15    2.05592e-15    6.96039e-15
    1134.084450    3.84010e-15    2.37234e-15    6.96264e-15
    1134.114360    2.13374e-15    2.05166e-15    6.96486e-15
    1134.144270    1.30259e-15    1.87116e-15    6.96705e-15
    1134.174180    4.65996e-15    2.51028e-15    6.96922e-15
    1134.204090    5.49019e-15    2.64316e-15    6.97136e-15
    1134.234000    2.13025e-15    2.04531e-15    6.97347e-15
    1134.263910    2.96105e-15    2.20661e-15    6.97555e-15
    1134.293820    5.44507e-15    2.63578e-15    6.97761e-15
    1134.323730    4.13927e-16    1.66376e-15    6.97964e-15
    1134.353640    1.24181e-15    1.85868e-15    6.98165e-15
    1134.383550    5.41014e-15    2.62866e-15    6.98363e-15
    1134.413460    5.41050e-15    2.62636e-15    6.98559e-15
    1134.443370    1.12422e-14    3.42229e-15    6.98752e-15
    1134.473280    9.56052e-15    3.21148e-15    6.98943e-15
    1134.503190    1.45306e-14    3.79725e-15    6.99132e-15
    1134.533100    1.03589e-14    3.31051e-15    6.99318e-15
    1134.563010    1.03530e-14    3.30861e-15    6.99501e-15
    1134.592920    9.52529e-15    3.20023e-15    6.99683e-15
    1134.622830    7.82016e-15    2.97593e-15    6.99862e-15
    1134.652740    7.77284e-15    2.97394e-15    7.00038e-15
    1134.682650    7.76389e-15    2.97033e-15    7.00213e-15
    1134.712560    3.64666e-15    2.32797e-15    7.00385e-15
    1134.742470    5.27207e-15    2.60005e-15    7.00555e-15
    1134.772380    3.61764e-15    2.32346e-15    7.00723e-15
    1134.802290    3.62214e-15    2.32102e-15    7.00888e-15
    1134.832200    3.64396e-15    2.32008e-15    7.01052e-15
    1134.862110    1.15087e-15    1.83083e-15    7.01213e-15
    1134.892020    2.80047e-15    2.16539e-15    7.01373e-15
    1134.921930    7.71653e-15    2.94838e-15    7.01530e-15
    1134.951840    6.10286e-15    2.71057e-15    7.01685e-15
    1134.981750    8.54644e-15    3.05505e-15    7.01839e-15
    1135.011660    6.88424e-15    2.82583e-15    7.01990e-15
    1135.041570    6.88103e-15    2.82329e-15    7.02139e-15
    1135.071480    9.33237e-15    3.15413e-15    7.02286e-15
    1135.101390    6.06472e-15    2.69799e-15    7.02432e-15
    1135.131300    7.68569e-15    2.93013e-15    7.02575e-15
    1135.161210    2.79333e-15    2.14758e-15    7.02717e-15
    1135.191120    1.17263e-14    3.44282e-15    7.02857e-15
    1135.221030    7.66451e-15    2.92349e-15    7.02995e-15
    1135.250940    5.21959e-15    2.56048e-15    7.03131e-15
    1135.280850    6.02273e-15    2.68331e-15    7.03265e-15
    1135.310760    7.66116e-15    2.91526e-15    7.03398e-15
    1135.340670    7.64894e-15    2.91229e-15    7.03529e-15
    1135.370580    2.78744e-15    2.13412e-15    7.03658e-15
    1135.400490    6.38270e-15    1.74751e-15    7.03785e-15
    1135.430400    5.25372e-15    1.04871e-15    7.03911e-15
    1135.460310    7.63012e-15    1.23214e-15    7.04034e-15
    1135.490220    6.13843e-15    1.14979e-15    7.04157e-15
    1135.520130    7.20018e-15    1.23066e-15    7.04277e-15
    1135.550040    6.15300e-15    1.10732e-15    7.04396e-15
    1135.579950    4.33620e-15    1.02450e-15    7.04514e-15
    1135.609860    4.88240e-15    1.02936e-15    7.04630e-15
    1135.639770    7.65148e-15    1.21942e-15    7.04744e-15
    1135.669680    5.31341e-15    1.03084e-15    7.04857e-15
    1135.699590    5.02544e-15    1.02755e-15    7.04968e-15
    1135.729500    7.69790e-15    1.27278e-15    7.05077e-15
    1135.759410    6.40094e-15    1.10773e-15    7.05185e-15
    1135.789320    7.23605e-15    1.18643e-15    7.05292e-15
    1135.819230    5.85149e-15    1.12457e-15    7.05397e-15
    1135.849140    6.56533e-15    1.12403e-15    7.05501e-15
    1135.879050    7.14658e-15    1.19083e-15    7.05603e-15
    1135.908960    6.13022e-15    1.13569e-15    7.05704e-15
    1135.938870    6.14836e-15    1.13499e-15    7.05803e-15
    1135.968780    5.91328e-15    1.09035e-15    7.05901e-15
    1135.998690    6.27056e-15    1.13643e-15    7.05998e-15
    1136.028600    7.86928e-15    1.23715e-15    7.06093e-15
    1136.058510    7.32933e-15    1.22326e-15    7.06187e-15
    1136.088420    6.16799e-15    1.10192e-15    7.06280e-15
    1136.118330    6.85712e-15    1.19556e-15    7.06371e-15
    1136.148240    6.72062e-15    1.15504e-15    7.06461e-15
    1136.178150    9.64012e-15    1.35185e-15    7.06550e-15
    1136.208060    9.88661e-15    1.38455e-15    7.06637e-15
    1136.237970    7.24971e-15    1.17855e-15    7.06723e-15
    1136.267880    8.57698e-15    1.27773e-15    7.06808e-15
    1136.297790    6.28162e-15    1.14993e-15    7.06891e-15
    1136.327700    8.51301e-15    1.31107e-15    7.06974e-15
    1136.357610    5.40646e-15    1.05053e-15    7.07055e-15
    1136.387520    5.99984e-15    1.12024e-15    7.07135e-15
    1136.417430    6.03312e-15    1.14644e-15    7.07214e-15
    1136.447340    6.67597e-15    1.15815e-15    7.07291e-15
    1136.477250    5.77233e-15    1.08969e-15    7.07368e-15
    1136.507160    5.79053e-15    1.10276e-15    7.07443e-15
    1136.537070    5.97828e-15    1.10125e-15    7.07517e-15
    1136.566980    6.06590e-15    1.12811e-15    7.07590e-15
    1136.596890    5.60564e-15    1.08584e-15    7.07662e-15
    1136.626800    8.12464e-15    1.24054e-15    7.07733e-15
    1136.656710    5.22648e-15    1.01179e-15    7.07802e-15
    1136.686620    5.23678e-15    1.04062e-15    7.07871e-15
    1136.716530    3.50172e-15    9.33183e-16    7.07938e-15
    1136.746440    7.45959e-15    1.19963e-15    7.08005e-15
    1136.776350    8.93733e-15    1.30579e-15    7.08070e-15
    1136.806260    5.41573e-15    1.07957e-15    7.08134e-15
    1136.836170    6.10632e-15    1.09226e-15    7.08198e-15
    1136.866080    5.37511e-15    1.07715e-15    7.08260e-15
    1136.895990    7.88807e-15    1.23133e-15    7.08321e-15
    1136.925900    7.15376e-15    1.16797e-15    7.08382e-15
    1136.955810    7.93631e-15    1.25318e-15    7.08441e-15
    1136.985720    6.00925e-15    1.08798e-15    7.08499e-15
    1137.015630    5.96799e-15    1.08326e-15    7.08556e-15
    1137.045540    5.32589e-15    1.06811e-15    7.08613e-15
    1137.075450    6.84457e-15    1.13632e-15    7.08668e-15
    1137.105360    7.86834e-15    1.20569e-15    7.08722e-15
    1137.135270    6.91132e-15    1.17146e-15    7.08776e-15
    1137.165180    7.10458e-15    1.16019e-15    7.08828e-15
    1137.195090    6.62924e-15    1.10838e-15    7.08880e-15
    1137.225000    9.56466e-15    1.31488e-15    7.08931e-15
    1137.254910    6.71714e-15    1.12018e-15    7.08980e-15
    1137.284820    6.23592e-15    1.13110e-15    7.09029e-15
    1137.314730    5.92504e-15    1.09037e-15    7.09077e-15
    1137.344640    4.80374e-15    9.62521e-16    7.09124e-15
    1137.374550    8.63667e-15    1.30578e-15    7.09170e-15
    1137.404460    5.75138e-15    1.04766e-15    7.09216e-15
    1137.434370    5.81080e-15    1.07441e-15    7.09260e-15
    1137.464280    7.52181e-15    1.19992e-15    7.09304e-15
    1137.494190    7.59202e-15    1.18670e-15    7.09347e-15
    1137.524100    8.18980e-15    1.27953e-15    7.09389e-15
    1137.554010    7.54729e-15    1.19661e-15    7.09430e-15
    1137.583920    6.78049e-15    1.13463e-15    7.09470e-15
    1137.613830    6.19329e-15    1.10789e-15    7.09510e-15
    1137.643740    4.88200e-15    9.69764e-16    7.09548e-15
    1137.673650    6.92346e-15    1.14433e-15    7.09586e-15
    1137.703560    8.11512e-15    1.22753e-15    7.09623e-15
    1137.733470    6.97763e-15    1.14251e-15    7.09659e-15
    1137.763380    5.91384e-15    1.06424e-15    7.09695e-15
    1137.793290    3.60687e-15    8.89076e-16    7.09729e-15
    1137.823200    3.49493e-15    8.56207e-16    7.09763e-15
    1137.853110    3.72433e-15    8.55739e-16    7.09797e-15
    1137.883020    3.85930e-15    8.92775e-16    7.09829e-15
    1137.912930    3.59374e-15    8.70755e-16    7.09861e-15
    1137.942840    2.19415e-15    7.74163e-16    7.09891e-15
    1137.972750    2.82317e-15    8.17359e-16    7.09922e-15
    1138.002660    1.70281e-15    6.63962e-16    7.09951e-15
    1138.032570    2.46771e-15    7.62909e-16    7.09980e-15
    1138.062480    5.07819e-15    9.80695e-16    7.10007e-15
    1138.092390    4.03400e-15    8.84807e-16    7.10035e-15
    1138.122300    3.80984e-15    8.65089e-16    7.10061e-15
    1138.152210    3.44200e-15    8.48467e-16    7.10087e-15
    1138.182120    2.33220e-15    7.98429e-16    7.10112e-15
    1138.212030    5.29022e-16    4.68994e-16    7.10136e-15
    1138.241940    9.53722e-16    5.83685e-16    7.10160e-15
    1138.271850    1.04771e-15    5.61472e-16    7.10183e-15
    1138.301760    6.43378e-16    5.63297e-16    7.10205e-15
    1138.331670    2.69623e-15    7.53349e-16    7.10226e-15
    1138.361580    1.71488e-15    6.99658e-16    7.10247e-15
    1138.391490    3.04065e-15    8.65572e-16    7.10267e-15
    1138.421400    3.26403e-15    8.15265e-16    7.10287e-15
    1138.451310    3.20111e-15    8.31245e-16    7.10306e-15
    1138.481220    2.54782e-15    7.54847e-16    7.10324e-15
    1138.511130    2.61447e-15    7.69736e-16    7.10341e-15
    1138.541040    4.93870e-15    9.79064e-16    7.10358e-15
    1138.570950    6.53632e-15    1.09293e-15    7.10374e-15
    1138.600860    5.60882e-15    1.02647e-15    7.10390e-15
    1138.630770    7.24928e-15    1.15573e-15    7.10405e-15
    1138.660680    5.44080e-15    1.06127e-15    7.10419e-15
    1138.690590    7.40972e-15    1.17422e-15    7.10432e-15
    1138.720500    6.76538e-15    1.11715e-15    7.10445e-15
    1138.750410    5.40126e-15    1.05432e-15    7.10458e-15
    1138.780320    5.26864e-15    1.00381e-15    7.10469e-15
    1138.810230    7.09384e-15    1.15260e-15    7.10480e-15
    1138.840140    6.61894e-15    1.11905e-15    7.10491e-15
    1138.870050    5.43432e-15    1.01215e-15    7.10500e-15
    1138.899960    8.98926e-15    1.25710e-15    7.10509e-15
    1138.929870    9.30728e-15    1.26425e-15    7.10518e-15
    1138.959780    7.37463e-15    1.16447e-15    7.10526e-15
    1138.989690    9.42727e-15    1.29346e-15    7.10533e-15
    1139.019600    7.37179e-15    1.18571e-15    7.10539e-15
    1139.049510    8.18161e-15    1.22835e-15    7.10545e-15
    1139.079420    5.11504e-15    1.02760e-15    7.10551e-15
    1139.109330    8.24095e-15    1.22667e-15    7.10556e-15
    1139.139240    6.96383e-15    1.11281e-15    7.10560e-15
    1139.169150    7.46484e-15    1.20253e-15    7.10563e-15
    1139.199060    6.31169e-15    1.07506e-15    7.10566e-15
    1139.228970    9.34680e-15    1.29554e-15    7.10568e-15
    1139.258880    8.06932e-15    1.29419e-15    7.10570e-15
    1139.288790    7.49191e-15    1.19924e-15    7.10571e-15
    1139.318700    7.11448e-15    1.16525e-15    7.10572e-15
    1139.348610    9.51302e-15    1.28185e-15    7.10572e-15
    1139.378520    7.96237e-15    1.18575e-15    7.10571e-15
    1139.408430    7.39745e-15    1.14015e-15    7.10570e-15
    1139.438340    6.63162e-15    1.13914e-15    7.10568e-15
    1139.468250    5.73658e-15    1.03073e-15    7.10565e-15
    1139.498160    6.15336e-15    1.09154e-15    7.10562e-15
    1139.528070    7.86528e-15    1.16106e-15    7.10558e-15
    1139.557980    6.50273e-15    1.14638e-15    7.10554e-15
    1139.587890    8.07899e-15    1.17878e-15    7.10549e-15
    1139.617800    6.90008e-15    1.09049e-15    7.10544e-15
    1139.647710    5.72996e-15    1.03365e-15    7.10538e-15
    1139.677620    5.72702e-15    1.05563e-15    7.10531e-15
    1139.707530    6.74975e-15    1.11356e-15    7.10524e-15
    1139.737440    6.83978e-15    1.11578e-15    7.10516e-15
    1139.767350    5.43462e-15    9.87475e-16    7.10507e-15
    1139.797260    7.79874e-15    1.19656e-15    7.10498e-15
    1139.827170    7.96823e-15    1.19641e-15    7.10488e-15
    1139.857080    6.59763e-15    1.08101e-15    7.10478e-15
    1139.886990    7.83187e-15    1.16364e-15    7.10467e-15
    1139.916900    6.85678e-15    1.09935e-15    7.10456e-15
    1139.946810    5.64554e-15    1.03900e-15    7.10444e-15
    1139.976720    5.96074e-15    1.04648e-15    7.10431e-15
    1140.006630    6.86871e-15    1.09081e-15    7.10418e-15
    1140.036540    5.25440e-15    1.05400e-15    7.10404e-15
    1140.066450    6.66137e-15    1.11197e-15    7.10390e-15
    1140.096360    7.42014e-15    1.14486e-15    7.10375e-15
    1140.126270    7.64913e-15    1.18617e-15    7.10359e-15
    1140.156180    7.11984e-15    1.20603e-15    7.10343e-15
    1140.186090    7.36977e-15    1.18466e-15    7.10326e-15
